"EventID","layer","QID","r [cm]","phi [rad]","z [cm]","E[GeV]","px[GeV]","py[GeV]","pz[GeV]"
11,4,2,12.25,-0.866938775510204,27.44,1482.61,368.22,-433.89,1274.48
11,5,1,29.9,2.2540066889632104,-33.36,946.05,-338.49,415.7,-598.03
11,5,2,29.9,-0.866943143812709,66.96000000000001,1482.61,368.22,-433.89,1274.48
11,6,1,37.1,2.2539892183288406,-41.4,946.05,-338.49,415.7,-598.03
11,6,2,37.1,-0.8668625336927223,83.08,1482.61,368.22,-433.89,1274.48
11,7,1,44.3,2.2539006772009027,-49.4,946.05,-338.49,415.7,-598.03
11,7,2,44.3,-0.866884875846501,99.2,1482.61,368.22,-433.89,1274.48
11,8,1,51.4,2.2538560311284046,-57.32,946.05,-338.49,415.7,-598.03
11,8,2,51.4,-0.8668015564202334,115.12,1482.61,368.22,-433.89,1274.48
12,1,2,3.1,0.04032258064516129,-13.56,1434.63,299.27,12.05,-1310.9
12,1,1,3.1,3.0580645161290323,-6.88,829.31,-271.43,22.72,-602.97
12,2,2,5.05,0.040594059405940595,-22.12,1434.63,299.27,12.05,-1310.9
12,2,1,5.05,3.0584158415841585,-11.200000000000001,829.31,-271.43,22.72,-602.97
12,3,2,8.85,0.04011299435028249,-38.76,1434.63,299.27,12.05,-1310.9
12,3,1,8.85,3.0581920903954805,-19.6,829.31,-271.43,22.72,-602.97
12,4,2,12.25,0.04040816326530612,-53.64,1434.63,299.27,12.05,-1310.9
12,4,1,12.25,3.057959183673469,-27.16,829.31,-271.43,22.72,-602.97
12,5,2,29.9,0.040595317725752506,-130.96,1434.63,299.27,12.05,-1310.9
12,5,1,29.9,3.057612040133779,-66.32000000000001,829.31,-271.43,22.72,-602.97
12,6,2,37.1,0.040690026954177894,-162.56,1434.63,299.27,12.05,-1310.9
12,6,1,37.1,3.057525606469002,-82.36,829.31,-271.43,22.72,-602.97
12,7,2,44.3,0.04075395033860045,-194.12,1434.63,299.27,12.05,-1310.9
12,7,1,44.3,3.0574672686230246,-98.4,829.31,-271.43,22.72,-602.97
12,8,2,51.4,0.04087937743190661,-225.28,1434.63,299.27,12.05,-1310.9
12,8,1,51.4,3.0573540856031127,-114.24000000000001,829.31,-271.43,22.72,-602.97
13,1,2,3.1,1.7580645161290323,-18.76,910.49,-23.04,121.95,-750.72
13,1,1,3.1,-2.3483870967741933,-5.2,603.75,-121.55,-123.54,-290.65
13,2,2,5.05,1.7584158415841584,-30.560000000000002,910.49,-23.04,121.95,-750.72
13,2,1,5.05,-2.3485148514851484,-8.48,603.75,-121.55,-123.54,-290.65
13,3,2,8.85,1.7587570621468926,-53.6,910.49,-23.04,121.95,-750.72
13,3,1,8.85,-2.348587570621469,-14.88,603.75,-121.55,-123.54,-290.65
13,4,2,12.25,1.7591836734693875,-74.2,910.49,-23.04,121.95,-750.72
13,4,1,12.25,-2.3485714285714283,-20.6,603.75,-121.55,-123.54,-290.65
13,5,2,29.9,1.7612909698996655,-181.44,910.49,-23.04,121.95,-750.72
13,5,1,29.9,-2.349638795986622,-50.44,603.75,-121.55,-123.54,-290.65
13,6,2,37.1,1.7621347708894877,-225.28,910.49,-23.04,121.95,-750.72
13,6,1,37.1,-2.3501239892183285,-62.64,603.75,-121.55,-123.54,-290.65
13,7,2,44.3,1.7630880361173813,-269.2,910.49,-23.04,121.95,-750.72
13,7,1,44.3,-2.350451467268623,-74.92,603.75,-121.55,-123.54,-290.65
13,8,2,51.4,1.763964980544747,-312.56,910.49,-23.04,121.95,-750.72
13,8,1,51.4,-2.350894941634241,-87.04,603.75,-121.55,-123.54,-290.65
14,1,2,3.1,-2.074193548387097,-33.44,2706.15,-118.33,-215.23,-2648.19
14,1,1,3.1,0.9225806451612903,-13.280000000000001,1212.25,151.59,199.98,-1075.45
14,2,2,5.05,-2.0732673267326733,-54.44,2706.15,-118.33,-215.23,-2648.19
14,2,1,5.05,0.9217821782178218,-21.64,1212.25,151.59,199.98,-1075.45
14,3,2,8.85,-2.073446327683616,-95.44,2706.15,-118.33,-215.23,-2648.19
14,3,1,8.85,0.9220338983050848,-37.96,1212.25,151.59,199.98,-1075.45
14,4,2,12.25,-2.073469387755102,-132.12,2706.15,-118.33,-215.23,-2648.19
