"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
319,8.85,1.4610169491525424,-4.08,3,777
320,12.25,1.44,-5.64,4,777
321,29.9,1.3325953177257523,-13.84,5,777
322,37.1,1.288242587601078,-17.2,6,777
323,44.3,1.2432641083521443,-20.64,7,777
324,51.4,1.1984007782101167,-24.04,8,777
325,3.1,-2.8951612903225805,1.32,1,778
326,5.05,-2.886138613861386,2.2,2,778
327,8.85,-2.8711864406779664,3.84,3,778
328,12.25,-2.8571428571428568,5.28,4,778
329,29.9,-2.7851571906354513,12.96,5,778
330,37.1,-2.7554663072776275,16.080000000000002,6,778
331,44.3,-2.725756207674943,19.240000000000002,7,778
332,51.4,-2.69631906614786,22.36,8,778
333,3.1,1.479032258064516,1.44,1,779
334,5.05,1.4653465346534653,2.36,2,779
335,8.85,1.4378531073446328,4.12,3,779
336,12.25,1.4126530612244896,5.72,4,779
337,29.9,1.2822207357859532,14.040000000000001,5,779
338,37.1,1.2277574123989217,17.52,6,779
339,44.3,1.172884875846501,21.,7,779
340,51.4,1.1171050583657587,24.560000000000002,8,779
341,3.1,-0.9983870967741936,4.72,1,784
342,5.05,-1.0188118811881188,7.72,2,784
343,8.85,-1.0587570621468927,13.56,3,784
344,12.25,-1.0946938775510202,18.76,4,784
345,29.9,-1.2854046822742473,46.480000000000004,5,784
346,37.1,-1.366598382749326,58.24,6,784
347,44.3,-1.4504108352144467,70.44,7,784
348,51.4,-1.5373424124513617,83.,8,784
349,3.1,-0.5403225806451613,2.96,1,785
350,5.05,-0.5198019801980198,4.8,2,785
351,8.85,-0.47796610169491527,8.44,3,785
352,12.25,-0.4404081632653061,11.72,4,785
353,29.9,-0.24186622073578593,29.,5,785
354,37.1,-0.1569865229110512,36.4,6,785
355,44.3,-0.06922799097065462,44.04,7,785
356,51.4,0.022291828793774317,52.,8,785
357,3.1,0.15806451612903225,2.68,1,787
358,5.05,0.13465346534653466,4.32,2,787
359,8.85,0.08983050847457627,7.6000000000000005,3,787
360,12.25,0.04938775510204081,10.56,4,787
361,29.9,-0.16715719063545148,26.240000000000002,5,787
362,37.1,-0.25999460916442046,32.96,6,787
363,44.3,-0.3578058690744921,40.04,7,787
364,51.4,-0.45999221789883266,47.44,8,787
365,3.1,0.3096774193548387,7.48,1,788
366,5.05,0.3495049504950495,12.16,2,788
367,8.85,0.42768361581920905,21.44,3,788
368,12.25,0.49836734693877544,29.8,4,788
369,29.9,0.8999197324414715,77.36,5,788
370,37.1,1.1010134770889486,101.2,6,788
371,44.3,1.367828442437923,132.76,7,788
372,3.1,0.22580645161290322,10.44,1,792
373,5.05,0.21782178217821782,17.,2,792
374,8.85,0.2016949152542373,29.8,3,792
375,12.25,0.1877551020408163,41.28,4,792
376,29.9,0.11439464882943143,100.96000000000001,5,792
377,37.1,0.0844043126684636,125.48,6,792
378,44.3,0.054031602708803604,150.08,7,792
379,51.4,0.02401167315175097,174.48,8,792
380,3.1,2.017741935483871,14.96,1,821
381,5.05,2.0356435643564357,24.36,2,821
382,8.85,2.071186440677966,42.72,3,821
383,12.25,2.1032653061224487,59.160000000000004,4,821
384,29.9,2.271859531772575,146.08,5,821
385,37.1,2.3427008086253367,182.6,6,821
386,44.3,2.415611738148984,220.16,7,821
387,51.4,2.489805447470817,258.44,8,821
388,3.1,1.2080645161290322,-2.48,1,823
389,5.05,1.189108910891089,-4.08,2,823
390,8.85,1.151412429378531,-7.16,3,823
391,12.25,1.1175510204081631,-9.92,4,823
392,29.9,0.9377859531772574,-24.48,5,823
393,37.1,0.8616388140161724,-30.64,6,823
394,44.3,0.78368848758465,-37.,7,823
395,51.4,0.7029533073929961,-43.52,8,823
396,3.1,0.6370967741935484,-11.84,1,824
397,5.05,0.6792079207920793,-19.32,2,824
398,8.85,0.7621468926553673,-34.04,3,824
