PID,E,px,py,pz
211.,0.38,0.083,0.316,-0.136
211.,0.38,0.083,0.316,-0.136
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
-211.,6.033,0.134,0.234,-6.025
-211.,6.033,0.134,0.234,-6.025
-211.,6.033,0.134,0.234,-6.025
-211.,6.033,0.134,0.234,-6.025
-211.,6.033,0.134,0.234,-6.025
-211.,6.033,0.134,0.234,-6.025
-211.,6.033,0.134,0.234,-6.025
-211.,6.033,0.134,0.234,-6.025
-211.,0.518,0.201,0.347,-0.297
-211.,0.518,0.201,0.347,-0.297
-211.,0.518,0.201,0.347,-0.297
-211.,0.518,0.201,0.347,-0.297
-211.,0.518,0.201,0.347,-0.297
-211.,0.518,0.201,0.347,-0.297
-211.,0.518,0.201,0.347,-0.297
-211.,0.518,0.201,0.347,-0.297
211.,1.587,-0.465,0.111,-1.506
211.,1.587,-0.465,0.111,-1.506
211.,1.587,-0.465,0.111,-1.506
211.,1.587,-0.465,0.111,-1.506
211.,1.587,-0.465,0.111,-1.506
211.,1.587,-0.465,0.111,-1.506
211.,1.587,-0.465,0.111,-1.506
211.,1.587,-0.465,0.111,-1.506
211.,0.868,0.35,0.268,-0.735
211.,0.868,0.35,0.268,-0.735
211.,0.868,0.35,0.268,-0.735
211.,0.868,0.35,0.268,-0.735
211.,0.868,0.35,0.268,-0.735
211.,0.868,0.35,0.268,-0.735
211.,0.868,0.35,0.268,-0.735
211.,0.868,0.35,0.268,-0.735
211.,0.519,-0.366,0.341,0.005
211.,0.519,-0.366,0.341,0.005
211.,0.519,-0.366,0.341,0.005
211.,0.519,-0.366,0.341,0.005
211.,0.519,-0.366,0.341,0.005
211.,0.519,-0.366,0.341,0.005
211.,0.519,-0.366,0.341,0.005
211.,0.519,-0.366,0.341,0.005
-211.,1.225,-0.158,0.669,-1.004
-211.,1.225,-0.158,0.669,-1.004
-211.,1.225,-0.158,0.669,-1.004
-211.,1.225,-0.158,0.669,-1.004
-211.,1.225,-0.158,0.669,-1.004
-211.,1.225,-0.158,0.669,-1.004
-211.,1.225,-0.158,0.669,-1.004
-211.,1.225,-0.158,0.669,-1.004
211.,2.149,-0.489,1.882,-0.905
211.,2.149,-0.489,1.882,-0.905
211.,2.149,-0.489,1.882,-0.905
211.,2.149,-0.489,1.882,-0.905
211.,2.149,-0.489,1.882,-0.905
211.,2.149,-0.489,1.882,-0.905
211.,2.149,-0.489,1.882,-0.905
211.,2.149,-0.489,1.882,-0.905
211.,3.929,-0.903,3.414,-1.716
211.,3.929,-0.903,3.414,-1.716
211.,3.929,-0.903,3.414,-1.716
211.,3.929,-0.903,3.414,-1.716
211.,3.929,-0.903,3.414,-1.716
211.,3.929,-0.903,3.414,-1.716
211.,3.929,-0.903,3.414,-1.716
211.,3.929,-0.903,3.414,-1.716
-211.,5.874,-0.074,4.369,-3.923
-211.,5.874,-0.074,4.369,-3.923
-211.,5.874,-0.074,4.369,-3.923
-211.,5.874,-0.074,4.369,-3.923
-211.,5.874,-0.074,4.369,-3.923
-211.,5.874,-0.074,4.369,-3.923
-211.,5.874,-0.074,4.369,-3.923
-211.,5.874,-0.074,4.369,-3.923
321.,4.007,0.083,3.35,-2.14
321.,4.007,0.083,3.35,-2.14
321.,4.007,0.083,3.35,-2.14
321.,4.007,0.083,3.35,-2.14
