EventID,TruthID,PID,layer,r,phi,z
0.,69,211.,5,29.9,1.5688896321070234,-11.16
0.,69,211.,6,37.1,1.544296495956873,-13.88
0.,69,211.,7,44.3,1.5196388261851015,-16.6
0.,69,211.,8,51.4,1.4952062256809338,-19.28
0.,71,-211.,1,3.1,1.085483870967742,-69.28
0.,71,-211.,2,5.05,1.106930693069307,-112.88
0.,71,-211.,3,8.85,1.1491525423728814,-198.08
0.,71,-211.,4,12.25,1.18734693877551,-274.56
0.,71,-211.,5,29.9,1.3895652173913042,-681.04
0.,71,-211.,6,37.1,1.4753800539083557,-854.48
0.,71,-211.,7,44.3,1.56568848758465,-1034.96
0.,71,-211.,8,51.4,1.6585252918287936,-1222.4
0.,73,-211.,1,3.1,1.0693548387096774,-2.2800000000000002
0.,73,-211.,2,5.05,1.0831683168316832,-3.7600000000000002
0.,73,-211.,3,8.85,1.111864406779661,-6.5600000000000005
0.,73,-211.,4,12.25,1.1375510204081631,-9.08
0.,73,-211.,5,29.9,1.271190635451505,-22.32
0.,73,-211.,6,37.1,1.3265498652291103,-27.84
0.,73,-211.,7,44.3,1.383255079006772,-33.44
0.,73,-211.,8,51.4,1.4401050583657586,-39.08
0.,74,211.,1,3.1,2.8870967741935485,-9.76
0.,74,211.,2,5.05,2.875247524752475,-15.92
0.,74,211.,3,8.85,2.8519774011299437,-27.88
0.,74,211.,4,12.25,2.830204081632653,-38.64
0.,74,211.,5,29.9,2.7188628762541804,-94.76
0.,74,211.,6,37.1,-3.141196765498652,-117.96000000000001
0.,74,211.,7,44.3,-3.094690744920993,-141.4
0.,74,211.,8,51.4,-3.0477626459143967,-164.88
0.,76,211.,1,3.1,0.632258064516129,-5.16
0.,76,211.,2,5.05,0.6188118811881188,-8.44
0.,76,211.,3,8.85,0.5932203389830508,-14.76
0.,76,211.,4,12.25,0.570204081632653,-20.44
0.,76,211.,5,29.9,0.4487090301003344,-50.2
0.,76,211.,6,37.1,0.398377358490566,-62.52
0.,76,211.,7,44.3,0.34744469525959365,-75.04
0.,76,211.,8,51.4,0.2964747081712062,-87.56
0.,77,211.,1,3.1,2.3725806451612903,0.04
0.,77,211.,2,5.05,2.3613861386138613,0.04
0.,77,211.,3,8.85,2.338418079096045,0.08
0.,77,211.,4,12.25,2.317959183673469,0.12
0.,77,211.,5,29.9,2.2113645484949833,0.32
0.,77,211.,6,37.1,2.1672938005390834,0.36
0.,77,211.,7,44.3,2.122889390519187,0.44
0.,77,211.,8,51.4,2.078431906614786,0.52
0.,78,-211.,1,3.1,1.8161290322580645,-4.5200000000000005
0.,78,-211.,2,5.05,1.8247524752475248,-7.36
0.,78,-211.,3,8.85,1.8412429378531074,-12.92
0.,78,-211.,4,12.25,1.8563265306122447,-17.92
0.,78,-211.,5,29.9,1.9334515050167222,-43.800000000000004
0.,78,-211.,6,37.1,1.9652183288409701,-54.44
0.,78,-211.,7,44.3,1.9970203160270878,-65.12
0.,78,-211.,8,51.4,2.0287548638132296,-75.72
0.,79,211.,1,3.1,1.820967741935484,-1.44
0.,79,211.,2,5.05,1.816831683168317,-2.36
0.,79,211.,3,8.85,1.8112994350282487,-4.12
0.,79,211.,4,12.25,1.8061224489795917,-5.72
0.,79,211.,5,29.9,1.7789163879598662,-13.92
0.,79,211.,6,37.1,1.767908355795148,-17.28
0.,79,211.,7,44.3,1.7566410835214445,-20.64
0.,79,211.,8,51.4,1.7457081712062257,-23.96
0.,80,211.,1,3.1,1.8274193548387097,-1.52
0.,80,211.,2,5.05,1.8247524752475248,-2.44
0.,80,211.,3,8.85,1.8220338983050848,-4.32
