hit_id,r,phi,z,layer_id,particle_id
496,29.9,-0.827371237458194,-23.04,5,1482
497,37.1,-0.74277628032345,-28.88,6,1482
498,44.3,-0.6555936794582392,-34.96,7,1482
499,51.4,-0.5643735408560311,-41.28,8,1482
500,3.1,-1.5903225806451613,17.36,1,1497
501,5.05,-1.5702970297029704,28.28,2,1497
502,8.85,-1.5322033898305085,49.56,3,1497
503,12.25,-1.4983673469387753,68.72,4,1497
504,29.9,-1.3188361204013377,169.84,5,1497
505,37.1,-1.2426954177897573,212.56,6,1497
506,44.3,-1.164672686230248,256.64,7,1497
507,51.4,-1.083898832684825,301.84000000000003,8,1497
508,3.1,1.2435483870967743,11.48,1,1499
509,5.05,1.2425742574257426,18.72,2,1499
510,8.85,1.2418079096045198,32.8,3,1499
511,12.25,1.240816326530612,45.36,4,1499
512,29.9,1.2360535117056854,110.76,5,1499
513,37.1,1.2340808625336925,137.44,6,1499
514,44.3,1.232058690744921,164.08,7,1499
515,51.4,1.2300856031128404,190.4,8,1499
516,3.1,1.2451612903225806,10.72,1,1500
517,5.05,1.2465346534653465,17.48,2,1500
518,8.85,1.2480225988700566,30.64,3,1500
519,12.25,1.2497959183673468,42.4,4,1500
520,29.9,1.2576588628762542,103.48,5,1500
521,37.1,1.2608409703504042,128.4,6,1500
522,44.3,1.264063205417607,153.32,7,1500
523,51.4,1.2671945525291828,177.92000000000002,8,1500
524,3.1,-0.5548387096774193,7.44,1,1518
525,5.05,-0.5702970297029704,12.120000000000001,2,1518
526,8.85,-0.6011299435028249,21.240000000000002,3,1518
527,12.25,-0.6289795918367347,29.400000000000002,4,1518
528,29.9,-0.7750635451505016,72.4,5,1518
529,37.1,-0.83588679245283,90.32000000000001,6,1518
530,44.3,-0.8979683972911963,108.64,7,1518
531,51.4,-0.9607315175097276,127.12,8,1518
532,3.1,-0.5048387096774194,15.,1,1519
533,5.05,-0.45643564356435645,24.48,2,1519
534,8.85,-0.3638418079096045,43.12,3,1519
535,12.25,-0.2791836734693877,60.160000000000004,4,1519
536,29.9,0.22651505016722406,161.56,5,1519
537,37.1,0.5295202156334231,222.24,6,1519
538,3.1,-1.1419354838709677,15.44,1,1549
539,5.05,-1.1712871287128712,25.2,2,1549
540,8.85,-1.2305084745762713,44.24,3,1549
541,12.25,-1.284081632653061,61.4,4,1549
542,29.9,-1.5742341137123745,154.92000000000002,5,1549
543,37.1,-1.7050404312668461,196.92000000000002,6,1549
544,44.3,-1.848510158013544,243.24,7,1549
545,51.4,-2.013408560311284,296.16,8,1549
546,3.1,-3.0064516129032257,10.56,1,1550
547,5.05,-2.987128712871287,17.240000000000002,2,1550
548,8.85,-2.949717514124294,30.240000000000002,3,1550
549,12.25,-2.9163265306122446,41.92,4,1550
550,29.9,-2.7393311036789294,103.56,5,1550
551,37.1,-2.6642803234501344,129.56,6,1550
552,44.3,-2.5876839729119636,156.36,7,1550
553,51.4,-2.5084591439688713,183.8,8,1550
554,3.1,-0.7903225806451613,-13.040000000000001,1,1748
555,5.05,-0.7940594059405941,-21.28,2,1748
556,8.85,-0.8016949152542373,-37.24,3,1748
557,12.25,-0.8081632653061224,-51.56,4,1748
558,29.9,-0.8413578595317726,-125.96000000000001,5,1748
559,37.1,-0.8550404312668463,-156.32,6,1748
560,44.3,-0.868650112866817,-186.72,7,1748
561,51.4,-0.8820817120622567,-216.72,8,1748
562,3.1,-0.635483870967742,-6.72,1,1751
563,5.05,-0.6376237623762376,-10.96,2,1751
564,8.85,-0.6412429378531074,-19.2,3,1751
565,12.25,-0.6444897959183673,-26.6,4,1751
566,29.9,-0.6604414715719064,-64.88,5,1751
567,37.1,-0.6669865229110511,-80.52,6,1751
568,44.3,-0.6734762979683973,-96.16,7,1751
569,51.4,-0.6799338521400777,-111.56,8,1751
570,3.1,1.211290322580645,-9.16,1,1769
571,5.05,1.205940594059406,-14.96,2,1769
572,8.85,1.1949152542372883,-26.2,3,1769
573,12.25,1.1848979591836735,-36.28,4,1769
574,29.9,1.1338260869565218,-88.60000000000001,5,1769
575,37.1,1.1129272237196763,-110.,6,1769
576,44.3,1.0919909706546274,-131.48,7,1769
577,51.4,1.0712645914396886,-152.68,8,1769
578,3.1,0.8774193548387097,-17.16,1,1772
579,5.05,0.902970297029703,-27.96,2,1772
580,8.85,0.9519774011299436,-49.08,3,1772
581,12.25,0.9967346938775509,-68.08,4,1772
582,29.9,1.2346889632107023,-169.88,5,1772
583,37.1,1.338097035040431,-214.12,6,1772
584,44.3,1.4478013544018058,-261.,7,1772
585,51.4,1.5655214007782101,-311.16,8,1772
586,3.1,1.5661290322580645,7.,1,1805
587,5.05,1.5603960396039604,11.4,2,1805
588,8.85,1.548587570621469,20.,3,1805
589,12.25,1.5383673469387753,27.68,4,1805
590,29.9,1.484515050167224,67.68,5,1805
591,37.1,1.4623665768194067,84.04,6,1805
592,44.3,1.4402031602708802,100.44,7,1805
593,51.4,1.4183424124513617,116.68,8,1805
594,3.1,-0.36451612903225805,-7.32,1,1823
595,5.05,-0.3584158415841584,-11.96,2,1823
596,8.85,-0.3474576271186441,-20.92,3,1823
597,12.25,-0.33836734693877546,-29.,4,1823
598,29.9,-0.28882943143812706,-70.8,5,1823
599,37.1,-0.2687008086253369,-87.92,6,1823
600,44.3,-0.24851467268623023,-105.04,7,1823
601,51.4,-0.2285408560311284,-122.,8,1823
602,3.1,-0.9016129032258065,-5.92,1,1825
603,5.05,-0.903960396039604,-9.64,2,1825
604,8.85,-0.9101694915254238,-16.92,3,1825
