"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
422,51.4,0.41785603112840464,346.04,8,1525
423,3.1,2.8629032258064515,7.28,1,1526
424,5.05,2.8603960396039603,11.84,2,1526
425,8.85,2.855367231638418,20.72,3,1526
426,12.25,2.850204081632653,28.68,4,1526
427,29.9,2.825411371237458,70.04,5,1526
428,37.1,2.8153099730458218,86.92,6,1526
429,44.3,2.8051151241534984,103.84,7,1526
430,51.4,2.795077821011673,120.48,8,1526
431,3.1,-1.9338709677419355,5.5200000000000005,1,1527
432,5.05,-1.9297029702970296,8.96,2,1527
433,8.85,-1.92090395480226,15.72,3,1527
434,12.25,-1.913877551020408,21.76,4,1527
435,29.9,-1.8747759197324414,53.2,5,1527
436,37.1,-1.8589110512129376,66.,6,1527
437,44.3,-1.842984198645598,78.88,7,1527
438,51.4,-1.82720233463035,91.56,8,1527
439,3.1,-1.5064516129032257,4.76,1,1529
440,5.05,-1.5138613861386139,7.72,2,1529
441,8.85,-1.5282485875706215,13.56,3,1529
442,12.25,-1.540816326530612,18.76,4,1529
443,29.9,-1.6063010033444816,45.84,5,1529
444,37.1,-1.6333746630727761,56.92,6,1529
445,44.3,-1.6602437923250561,68.08,7,1529
446,51.4,-1.6872334630350194,79.12,8,1529
447,3.1,-2.203225806451613,12.120000000000001,1,1535
448,5.05,-2.207920792079208,19.72,2,1535
449,8.85,-2.218079096045198,34.6,3,1535
450,12.25,-2.226530612244898,47.88,4,1535
451,29.9,-2.2714046822742473,117.,5,1535
452,37.1,-2.289822102425876,145.24,6,1535
453,44.3,-2.30823927765237,173.52,7,1535
454,51.4,-2.326420233463035,201.48000000000002,8,1535
455,3.1,-2.8080645161290323,14.76,1,1541
456,5.05,-2.8148514851485147,24.080000000000002,2,1541
457,8.85,-2.8293785310734463,42.2,3,1541
458,12.25,-2.8428571428571425,58.4,4,1541
459,29.9,-2.9116053511705684,142.8,5,1541
460,37.1,-2.9398544474393526,177.4,6,1541
461,44.3,-2.9681309255079005,212.16,7,1541
462,51.4,-2.9962334630350194,246.6,8,1541
463,3.1,1.6951612903225806,-18.28,1,1570
464,5.05,1.700990099009901,-29.8,2,1570
465,8.85,1.7118644067796611,-52.24,3,1570
466,12.25,1.7212244897959181,-72.32000000000001,4,1570
467,29.9,1.7719799331103678,-176.68,5,1570
468,37.1,1.792652291105121,-219.36,6,1570
469,44.3,1.8132821670428891,-262.16,7,1570
470,51.4,1.833817120622568,-304.44,8,1570
471,3.1,2.306451612903226,-6.640000000000001,1,1571
472,5.05,2.296039603960396,-10.8,2,1571
473,8.85,2.2768361581920904,-18.92,3,1571
474,12.25,2.259591836734694,-26.2,4,1571
475,29.9,2.169632107023411,-64.16,5,1571
476,37.1,2.132652291105121,-79.8,6,1571
477,44.3,2.09541309255079,-95.52,7,1571
478,51.4,2.0583891050583656,-111.16,8,1571
479,3.1,-2.4596774193548385,5.2,1,1572
480,5.05,-2.4455445544554455,8.48,2,1572
481,8.85,-2.417514124293785,14.88,3,1572
482,12.25,-2.3926530612244896,20.64,4,1572
483,29.9,-2.2619665551839465,50.68,5,1572
484,37.1,-2.207708894878706,63.160000000000004,6,1572
485,44.3,-2.15251467268623,75.84,7,1572
486,51.4,-2.0970856031128404,88.60000000000001,8,1572
487,3.1,1.7758064516129033,11.16,1,1573
488,5.05,1.7306930693069307,18.2,2,1573
489,8.85,1.6440677966101696,32.04,3,1573
490,12.25,1.5648979591836734,44.6,4,1573
491,29.9,1.1050568561872909,117.96000000000001,5,1573
492,37.1,0.8528409703504042,158.16,6,1573
493,3.1,-1.543548387096774,-0.24,1,1574
494,5.05,-1.5306930693069307,-0.4,2,1574
495,8.85,-1.5073446327683617,-0.68,3,1574
496,12.25,-1.4865306122448978,-0.92,4,1574
497,29.9,-1.3758060200668896,-2.32,5,1574
498,37.1,-1.3301239892183288,-2.88,6,1574
499,44.3,-1.2839413092550789,-3.44,7,1574
500,51.4,-1.2378249027237354,-4.,8,1574
501,3.1,1.0903225806451613,2.8000000000000003,1,1575
502,5.05,1.0782178217821783,4.5600000000000005,2,1575
503,8.85,1.0570621468926553,8.,3,1575
504,12.25,1.0379591836734694,11.120000000000001,4,1575
505,29.9,0.9378996655518393,27.2,5,1575
